Algoritmo,Version,n,Resultado,Tiempo_ms
Factorial,Iterativo,5,120,0.000638
Factorial,Iterativo,10,3628800,0.000235
Factorial,Iterativo,15,1307674368000,0.000400
Factorial,Iterativo,20,2432902008176640000,0.000451
Factorial,Iterativo,25,2432902008176640000,0.000293
Factorial,Iterativo,30,2432902008176640000,0.000401
Factorial,Recursivo,5,120,0.002702
Factorial,Recursivo,10,3628800,0.000632
Factorial,Recursivo,15,1307674368000,0.000814
Factorial,Recursivo,20,2432902008176640000,0.002240
Factorial,Recursivo,25,2432902008176640000,0.000405
Factorial,Recursivo,30,2432902008176640000,0.000396
Fibonacci,Iterativo,5,5,0.000524
Fibonacci,Iterativo,10,55,0.000253
Fibonacci,Iterativo,15,610,0.000312
Fibonacci,Iterativo,20,6765,0.000519
Fibonacci,Iterativo,25,75025,0.000391
Fibonacci,Iterativo,30,832040,0.000679
Fibonacci,Recursivo,5,5,0.001071
Fibonacci,Recursivo,10,55,0.008667
Fibonacci,Recursivo,15,610,0.029537
Fibonacci,Recursivo,20,6765,0.075762
Fibonacci,Recursivo,25,75025,0.430527
Fibonacci,Recursivo,30,832040,5.668775
BusquedaLineal,Iterativo,100,99,0.002294
BusquedaLineal,Iterativo,500,499,0.006627
BusquedaLineal,Iterativo,1000,999,0.013915
BusquedaLineal,Iterativo,5000,4999,0.089954
BusquedaLineal,Iterativo,10000,9999,0.026275
BusquedaLineal,Recursivo,100,99,0.004342
BusquedaLineal,Recursivo,500,499,0.003508
BusquedaLineal,Recursivo,1000,146,0.001450
BusquedaLineal,Recursivo,5000,4999,0.043942
BusquedaLineal,Recursivo,10000,9999,0.076481
Burbuja,Iterativo,100,ordenado,0.212022
Burbuja,Iterativo,500,ordenado,0.755970
Burbuja,Iterativo,1000,ordenado,0.978150
Burbuja,Iterativo,5000,ordenado,22.422642
Burbuja,Iterativo,10000,ordenado,104.447215
Burbuja,Recursivo,100,ordenado,0.430732
Burbuja,Recursivo,500,ordenado,0.554123
Burbuja,Recursivo,1000,ordenado,1.009294
Burbuja,Recursivo,5000,ordenado,22.186172
Burbuja,Recursivo,10000,ordenado,104.009121
